train_loss,epoch,step
45913.7265625,0,49
42935.98046875,0,99
40598.7890625,0,149
37775.5390625,0,199
35244.7265625,0,249
32660.888671875,0,299
30028.482421875,0,349
27570.0859375,0,399
25174.150390625,0,449
22468.13671875,0,499
20241.921875,0,549
17785.087890625,0,599
15248.994140625,0,649
13055.6044921875,0,699
10506.955078125,0,749
8298.1494140625,0,799
5972.7470703125,0,849
3808.637939453125,0,899
1477.688232421875,1,949
-579.534423828125,1,999
-2392.569091796875,1,1049
-5007.68017578125,1,1099
-7071.9384765625,1,1149
-8612.6708984375,1,1199
-10800.705078125,1,1249
-12307.3671875,1,1299
-14476.0673828125,1,1349
-16111.4794921875,1,1399
-18229.859375,1,1449
-20204.68359375,1,1499
-20630.89453125,1,1549
-22184.556640625,1,1599
-23859.962890625,1,1649
-25653.728515625,1,1699
-26940.9375,1,1749
-27506.76953125,1,1799
-28959.056640625,1,1849
-29595.953125,2,1899
-30244.779296875,2,1949
-31584.095703125,2,1999
-32190.287109375,2,2049
-33549.09375,2,2099
-32037.330078125,2,2149
-35660.671875,2,2199
-33999.23046875,2,2249
-33267.390625,2,2299
-33124.03125,2,2349
-34244.640625,2,2399
-33419.609375,2,2449
-35324.6484375,2,2499
-37946.3984375,2,2549
-35684.55078125,2,2599
-37686.86328125,2,2649
-37991.87890625,2,2699
-38412.890625,2,2749
-37678.92578125,2,2799
-38912.14453125,3,2849
-38109.8828125,3,2899
-42590.65625,3,2949
-37231.49609375,3,2999
-36100.37890625,3,3049
-39402.69140625,3,3099
-39586.2109375,3,3149
-40850.75,3,3199
-38169.2890625,3,3249
-37125.109375,3,3299
-37284.1796875,3,3349
-37045.72265625,3,3399
-40077.0546875,3,3449
-36544.71484375,3,3499
-39122.16796875,3,3549
-38154.51171875,3,3599
-40467.95703125,3,3649
-35883.484375,3,3699
-38736.76953125,3,3749
-37654.34375,4,3799
-38728.71875,4,3849
-37482.328125,4,3899
-40249.83984375,4,3949
-38263.53515625,4,3999
-37830.16015625,4,4049
-35641.25390625,4,4099
-38872.32421875,4,4149
-37646.4296875,4,4199
-38424.0625,4,4249
-38351.9765625,4,4299
-40902.4609375,4,4349
-38269.61328125,4,4399
-37037.73046875,4,4449
-38160.90234375,4,4499
-39476.9453125,4,4549
-39094.0703125,4,4599
-41208.171875,4,4649
-36558.75,5,4699
-39296.34375,5,4749
-41822.765625,5,4799
-35898.39453125,5,4849
-40323.07421875,5,4899
-37271.19140625,5,4949
-36307.671875,5,4999
-40547.1640625,5,5049
-41249.6640625,5,5099
-37404.9296875,5,5149
-39677.0078125,5,5199
-39498.8125,5,5249
-43796.37109375,5,5299
-38558.72265625,5,5349
-39963.81640625,5,5399
-39542.11328125,5,5449
-38816.03515625,5,5499
-39948.26953125,5,5549
-41323.73046875,5,5599
-39109.84375,6,5649
-40011.0625,6,5699
-40054.2578125,6,5749
-39834.90234375,6,5799
-38368.92578125,6,5849
-39669.28125,6,5899
-38723.56640625,6,5949
-39609.48828125,6,5999
-37226.8046875,6,6049
-39775.203125,6,6099
-38337.8125,6,6149
-39596.44140625,6,6199
-40750.28125,6,6249
-42507.09765625,6,6299
-40704.3515625,6,6349
-34910.53125,6,6399
-38872.93359375,6,6449
-42637.1328125,6,6499
-39445.94921875,6,6549
-40329.11328125,7,6599
-42716.96875,7,6649
-39218.2734375,7,6699
-40253.578125,7,6749
-40938.8828125,7,6799
-39754.1328125,7,6849
-39215.96875,7,6899
-40628.0546875,7,6949
-34333.515625,7,6999
-42438.4765625,7,7049
-39269.48046875,7,7099
-43819.61328125,7,7149
-39861.62109375,7,7199
-40774.890625,7,7249
-38546.78125,7,7299
-38633.19921875,7,7349
-43425.9921875,7,7399
-42084.97265625,7,7449
-40781.25,7,7499
-41921.4921875,8,7549
-38858.6640625,8,7599
-39497.55859375,8,7649
-45371.93359375,8,7699
-39591.9765625,8,7749
-40903.76953125,8,7799
-39937.8359375,8,7849
-43742.82421875,8,7899
-40207.2109375,8,7949
-38662.08984375,8,7999
-43427.2890625,8,8049
-41905.09765625,8,8099
-39227.8671875,8,8149
-41536.93359375,8,8199
-39751.88671875,8,8249
-41211.8359375,8,8299
-40469.85546875,8,8349
-40837.3359375,8,8399
-36840.22265625,9,8449
-38536.8828125,9,8499
-39936.12109375,9,8549
-37660.17578125,9,8599
-38462.14453125,9,8649
-40898.5859375,9,8699
-40460.359375,9,8749
-38601.99609375,9,8799
-37425.51953125,9,8849
-39037.171875,9,8899
-41933.96875,9,8949
-40740.3984375,9,8999
-37338.43359375,9,9049
-40273.6015625,9,9099
-39951.47265625,9,9149
-37681.6640625,9,9199
-41107.1796875,9,9249
-41276.8984375,9,9299
-42151.51171875,9,9349
